"Date","WM2NS"
2021-04-13,20294.9
2021-04-14,20294.9
2021-04-15,20294.9
2021-04-16,20294.9
2021-04-17,20294.9
2021-04-18,20294.9
2021-04-19,20288.1
2021-04-20,20288.1
2021-04-21,20288.1
2021-04-22,20288.1
2021-04-23,20288.1
2021-04-24,20288.1
2021-04-25,20288.1
2021-04-26,20134.7
2021-04-27,20134.7
2021-04-28,20134.7
2021-04-29,20134.7
2021-04-30,20134.7
2021-05-01,20134.7
2021-05-02,20134.7
2021-05-03,20258.1
2021-05-04,20258.1
2021-05-05,20258.1
2021-05-06,20258.1
2021-05-07,20258.1
2021-05-08,20258.1
2021-05-09,20258.1
2021-05-10,20337.5
2021-05-11,20337.5
2021-05-12,20337.5
2021-05-13,20337.5
2021-05-14,20337.5
2021-05-15,20337.5
2021-05-16,20337.5
2021-05-17,20387.4
2021-05-18,20387.4
2021-05-19,20387.4
2021-05-20,20387.4
2021-05-21,20387.4
2021-05-22,20387.4
2021-05-23,20387.4
2021-05-24,20217.8
2021-05-25,20217.8
2021-05-26,20217.8
2021-05-27,20217.8
2021-05-28,20217.8
2021-05-29,20217.8
2021-05-30,20217.8
2021-05-31,20265.1
2021-06-01,20265.1
2021-06-02,20265.1
2021-06-03,20265.1
2021-06-04,20265.1
2021-06-05,20265.1
2021-06-06,20265.1
2021-06-07,20408.7
2021-06-08,20408.7
2021-06-09,20408.7
2021-06-10,20408.7
2021-06-11,20408.7
2021-06-12,20408.7
2021-06-13,20408.7
2021-06-14,20494.2
2021-06-15,20494.2
2021-06-16,20494.2
2021-06-17,20494.2
2021-06-18,20494.2
2021-06-19,20494.2
2021-06-20,20494.2
2021-06-21,20397
2021-06-22,20397
2021-06-23,20397
2021-06-24,20397
2021-06-25,20397
2021-06-26,20397
2021-06-27,20397
2021-06-28,20336.7
2021-06-29,20336.7
2021-06-30,20336.7
2021-07-01,20336.7
2021-07-02,20336.7
2021-07-03,20336.7
2021-07-04,20336.7
2021-07-05,20556.3
2021-07-06,20556.3
2021-07-07,20556.3
2021-07-08,20556.3
2021-07-09,20556.3
2021-07-10,20556.3
2021-07-11,20556.3
2021-07-12,20549.1
2021-07-13,20549.1
2021-07-14,20549.1
2021-07-15,20549.1
2021-07-16,20549.1
2021-07-17,20549.1
2021-07-18,20549.1
2021-07-19,20578.5
2021-07-20,20578.5
2021-07-21,20578.5
2021-07-22,20578.5
2021-07-23,20578.5
2021-07-24,20578.5
2021-07-25,20578.5
2021-07-26,20530.5
2021-07-27,20530.5
2021-07-28,20530.5
2021-07-29,20530.5
2021-07-30,20530.5
2021-07-31,20530.5
2021-08-01,20530.5
2021-08-02,20656.9
2021-08-03,20656.9
2021-08-04,20656.9
2021-08-05,20656.9
2021-08-06,20656.9
2021-08-07,20656.9
2021-08-08,20656.9
2021-08-09,20714.9
2021-08-10,20714.9
2021-08-11,20714.9
2021-08-12,20714.9
2021-08-13,20714.9
2021-08-14,20714.9
2021-08-15,20714.9
2021-08-16,20785.7
2021-08-17,20785.7
2021-08-18,20785.7
2021-08-19,20785.7
2021-08-20,20785.7
2021-08-21,20785.7
2021-08-22,20785.7
2021-08-23,20760.4
2021-08-24,20760.4
2021-08-25,20760.4
2021-08-26,20760.4
2021-08-27,20760.4
2021-08-28,20760.4
2021-08-29,20760.4
2021-08-30,20792
2021-08-31,20792
2021-09-01,20792
2021-09-02,20792
2021-09-03,20792
2021-09-04,20792
2021-09-05,20792
2021-09-06,20933.8
2021-09-07,20933.8
2021-09-08,20933.8
2021-09-09,20933.8
2021-09-10,20933.8
2021-09-11,20933.8
2021-09-12,20933.8
2021-09-13,20978.5
2021-09-14,20978.5
2021-09-15,20978.5
2021-09-16,20978.5
2021-09-17,20978.5
2021-09-18,20978.5
2021-09-19,20978.5
2021-09-20,20933.4
2021-09-21,20933.4
2021-09-22,20933.4
2021-09-23,20933.4
2021-09-24,20933.4
2021-09-25,20933.4
2021-09-26,20933.4
2021-09-27,20843.9
2021-09-28,20843.9
2021-09-29,20843.9
2021-09-30,20843.9
2021-10-01,20843.9
2021-10-02,20843.9
2021-10-03,20843.9
2021-10-04,21049.4
2021-10-05,21049.4
2021-10-06,21049.4
2021-10-07,21049.4
2021-10-08,21049.4
2021-10-09,21049.4
2021-10-10,21049.4
2021-10-11,21073.9
2021-10-12,21073.9
2021-10-13,21073.9
2021-10-14,21073.9
2021-10-15,21073.9
2021-10-16,21073.9
2021-10-17,21073.9
2021-10-18,21149.6
2021-10-19,21149.6
2021-10-20,21149.6
2021-10-21,21149.6
2021-10-22,21149.6
2021-10-23,21149.6
2021-10-24,21149.6
2021-10-25,21037.3
2021-10-26,21037.3
2021-10-27,21037.3
2021-10-28,21037.3
2021-10-29,21037.3
2021-10-30,21037.3
2021-10-31,21037.3
2021-11-01,21180.8
2021-11-02,21180.8
2021-11-03,21180.8
2021-11-04,21180.8
2021-11-05,21180.8
2021-11-06,21180.8
2021-11-07,21180.8
2021-11-08,21262.3
2021-11-09,21262.3
2021-11-10,21262.3
2021-11-11,21262.3
2021-11-12,21262.3
2021-11-13,21262.3
2021-11-14,21262.3
2021-11-15,21327.5
2021-11-16,21327.5
2021-11-17,21327.5
2021-11-18,21327.5
2021-11-19,21327.5
2021-11-20,21327.5
2021-11-21,21327.5
2021-11-22,21356.3
2021-11-23,21356.3
2021-11-24,21356.3
2021-11-25,21356.3
2021-11-26,21356.3
2021-11-27,21356.3
2021-11-28,21356.3
2021-11-29,21384.4
2021-11-30,21384.4
2021-12-01,21384.4
2021-12-02,21384.4
2021-12-03,21384.4
2021-12-04,21384.4
2021-12-05,21384.4
2021-12-06,21527.5
2021-12-07,21527.5
2021-12-08,21527.5
2021-12-09,21527.5
2021-12-10,21527.5
2021-12-11,21527.5
2021-12-12,21527.5
2021-12-13,21582.3
2021-12-14,21582.3
2021-12-15,21582.3
2021-12-16,21582.3
2021-12-17,21582.3
2021-12-18,21582.3
2021-12-19,21582.3
2021-12-20,21707.5
2021-12-21,21707.5
2021-12-22,21707.5
2021-12-23,21707.5
2021-12-24,21707.5
2021-12-25,21707.5
2021-12-26,21707.5
2021-12-27,21751.8
2021-12-28,21751.8
2021-12-29,21751.8
2021-12-30,21751.8
2021-12-31,21751.8
2022-01-01,21751.8
2022-01-02,21751.8
2022-01-03,21728.3
2022-01-04,21728.3
2022-01-05,21728.3
2022-01-06,21728.3
2022-01-07,21728.3
2022-01-08,21728.3
2022-01-09,21728.3
2022-01-10,21745.2
2022-01-11,21745.2
2022-01-12,21745.2
2022-01-13,21745.2
2022-01-14,21745.2
2022-01-15,21745.2
2022-01-16,21745.2
2022-01-17,21718.6
2022-01-18,21718.6
2022-01-19,21718.6
2022-01-20,21718.6
2022-01-21,21718.6
2022-01-22,21718.6
2022-01-23,21718.6
2022-01-24,21534.1
2022-01-25,21534.1
2022-01-26,21534.1
2022-01-27,21534.1
2022-01-28,21534.1
2022-01-29,21534.1
2022-01-30,21534.1
2022-01-31,21523.3
2022-02-01,21523.3
2022-02-02,21523.3
2022-02-03,21523.3
2022-02-04,21523.3
2022-02-05,21523.3
2022-02-06,21523.3
