Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,"14,715.66","14,798.88","14,645.63","14,762.58","14,762.58","4,268,210,000"
2021-07-29,"14,771.17","14,833.74","14,761.38","14,778.26","14,778.26","3,928,640,000"
2021-07-30,"14,615.85","14,728.78","14,615.85","14,672.68","14,672.68","3,645,050,000"
2021-08-02,"14,758.60","14,770.41","14,665.67","14,681.07","14,681.07","3,746,130,000"
2021-08-03,"14,713.99","14,762.60","14,584.09","14,761.29","14,761.29","4,141,370,000"
2021-08-04,"14,747.21","14,812.37","14,734.12","14,780.53","14,780.53","4,337,330,000"
2021-08-05,"14,794.08","14,896.47","14,776.03","14,895.12","14,895.12","4,107,300,000"
2021-08-06,"14,864.22","14,890.18","14,788.59","14,835.76","14,835.76","4,173,090,000"
2021-08-09,"14,855.76","14,883.81","14,802.69","14,860.18","14,860.18","4,111,640,000"
2021-08-10,"14,887.75","14,894.61","14,754.48","14,788.09","14,788.09","3,991,770,000"
2021-08-11,"14,834.38","14,842.50","14,692.41","14,765.14","14,765.14","4,002,340,000"
2021-08-12,"14,751.36","14,824.31","14,698.94","14,816.26","14,816.26","4,049,000,000"
2021-08-13,"14,825.07","14,850.61","14,797.22","14,822.90","14,822.90","4,061,070,000"
2021-08-16,"14,771.53","14,794.68","14,610.02","14,793.76","14,793.76","3,973,920,000"
2021-08-17,"14,670.56","14,716.95","14,550.88","14,656.18","14,656.18","4,168,880,000"
2021-08-18,"14,636.24","14,697.25","14,516.30","14,525.91","14,525.91","3,841,840,000"
2021-08-19,"14,423.16","14,610.76","14,423.16","14,541.79","14,541.79","4,191,490,000"
2021-08-20,"14,571.53","14,722.16","14,571.53","14,714.66","14,714.66","3,886,340,000"
2021-08-23,"14,776.98","14,963.47","14,776.98","14,942.65","14,942.65","3,906,780,000"
2021-08-24,"14,978.14","15,034.89","14,965.54","15,019.80","15,019.80","3,809,750,000"
2021-08-25,"15,039.03","15,059.43","15,011.58","15,041.86","15,041.86","3,654,150,000"
2021-08-26,"15,025.17","15,059.63","14,939.56","14,945.81","14,945.81","3,630,900,000"
2021-08-27,"14,969.77","15,144.48","14,966.52","15,129.50","15,129.50","4,048,610,000"
2021-08-30,"15,165.94","15,288.08","15,165.12","15,265.89","15,265.89","4,061,760,000"
2021-08-31,"15,262.88","15,278.96","15,202.67","15,259.24","15,259.24","4,188,020,000"
2021-09-01,"15,308.98","15,379.50","15,302.11","15,309.38","15,309.38","4,271,690,000"
2021-09-02,"15,358.47","15,380.07","15,285.35","15,331.18","15,331.18","4,050,510,000"
2021-09-03,"15,313.41","15,375.56","15,283.67","15,363.52","15,363.52","3,706,990,000"
2021-09-07,"15,375.98","15,403.44","15,343.28","15,374.33","15,374.33","4,014,250,000"
2021-09-08,"15,360.35","15,360.35","15,206.61","15,286.64","15,286.64","4,131,560,000"
2021-09-09,"15,296.06","15,352.38","15,245.17","15,248.25","15,248.25","4,031,140,000"
2021-09-10,"15,332.92","15,349.47","15,111.31","15,115.49","15,115.49","4,587,150,000"
2021-09-13,"15,211.43","15,215.44","15,030.85","15,105.58","15,105.58","4,723,370,000"
2021-09-14,"15,168.45","15,181.19","15,008.30","15,037.76","15,037.76","4,593,140,000"
2021-09-15,"15,071.34","15,174.38","14,984.68","15,161.53","15,161.53","4,465,140,000"
2021-09-16,"15,120.09","15,205.50","15,047.14","15,181.92","15,181.92","3,701,500,000"
2021-09-17,"15,163.36","15,166.56","14,998.73","15,043.97","15,043.97","6,709,540,000"
2021-09-20,"14,758.14","14,841.82","14,530.07","14,713.90","14,713.90","4,879,490,000"
2021-09-21,"14,803.36","14,847.03","14,696.47","14,746.40","14,746.40","4,083,010,000"
2021-09-22,"14,800.59","14,950.12","14,767.01","14,896.85","14,896.85","4,252,490,000"
2021-09-23,"14,960.00","15,085.44","14,932.51","15,052.24","15,052.24","4,196,130,000"
2021-09-24,"14,961.61","15,067.56","14,946.57","15,047.70","15,047.70","3,992,150,000"
2021-09-27,"14,954.18","15,003.16","14,864.96","14,969.97","14,969.97","4,650,790,000"
2021-09-28,"14,787.21","14,817.74","14,539.88","14,546.68","14,546.68","4,989,510,000"
2021-09-29,"14,614.88","14,676.62","14,493.67","14,512.44","14,512.44","5,294,600,000"
2021-09-30,"14,582.60","14,632.36","14,444.30","14,448.58","14,448.58","5,950,950,000"
2021-10-01,"14,494.93","14,606.82","14,324.01","14,566.70","14,566.70","4,710,720,000"
2021-10-04,"14,493.12","14,499.74","14,181.69","14,255.48","14,255.48","4,557,110,000"
2021-10-05,"14,312.86","14,508.65","14,299.78","14,433.83","14,433.83","4,176,390,000"
2021-10-06,"14,289.45","14,509.55","14,259.07","14,501.91","14,501.91","4,465,910,000"
2021-10-07,"14,631.80","14,755.72","14,615.14","14,654.02","14,654.02","3,984,180,000"
2021-10-08,"14,694.72","14,699.91","14,569.68","14,579.54","14,579.54","3,571,380,000"
2021-10-11,"14,540.08","14,665.99","14,482.62","14,486.20","14,486.20","3,539,540,000"
2021-10-12,"14,539.09","14,552.71","14,441.60","14,465.92","14,465.92","4,063,830,000"
2021-10-13,"14,537.17","14,589.28","14,471.88","14,571.64","14,571.64","4,053,580,000"
2021-10-14,"14,717.50","14,827.56","14,699.52","14,823.43","14,823.43","4,262,400,000"
2021-10-15,"14,891.24","14,904.98","14,847.96","14,897.34","14,897.34","4,494,440,000"
2021-10-18,"14,839.74","15,026.68","14,833.28","15,021.81","15,021.81","4,167,740,000"
2021-10-19,"15,073.13","15,137.85","15,049.73","15,129.09","15,129.09","4,483,400,000"
2021-10-20,"15,160.00","15,178.39","15,071.15","15,121.68","15,121.68","4,117,050,000"
2021-10-21,"15,104.80","15,222.25","15,094.14","15,215.70","15,215.70","4,961,860,000"
2021-10-22,"15,158.07","15,193.01","15,021.02","15,090.20","15,090.20","5,775,770,000"
2021-10-25,"15,142.92","15,259.63","15,070.75","15,226.71","15,226.71","5,750,200,000"
2021-10-26,"15,317.50","15,384.00","15,198.23","15,235.71","15,235.71","7,173,230,000"
2021-10-27,"15,276.00","15,364.54","15,235.84","15,235.84","15,235.84","6,130,110,000"
2021-10-28,"15,304.74","15,452.30","15,290.31","15,448.12","15,448.12","5,714,890,000"
2021-10-29,"15,323.29","15,504.12","15,323.29","15,498.39","15,498.39","5,338,290,000"
2021-11-01,"15,541.26","15,598.95","15,470.82","15,595.92","15,595.92","5,273,950,000"
2021-11-02,"15,583.98","15,656.60","15,569.27","15,649.60","15,649.60","5,129,370,000"
2021-11-03,"15,658.52","15,821.57","15,616.44","15,811.58","15,811.58","5,325,110,000"
2021-11-04,"15,849.74","15,966.09","15,827.66","15,940.31","15,940.31","5,297,250,000"
2021-11-05,"16,003.56","16,053.39","15,900.78","15,971.59","15,971.59","5,566,400,000"
2021-11-08,"15,995.72","16,038.23","15,961.81","15,982.36","15,982.36","5,723,650,000"
2021-11-09,"16,024.13","16,035.21","15,836.68","15,886.54","15,886.54","5,574,660,000"
2021-11-10,"15,753.84","15,867.24","15,543.68","15,622.71","15,622.71","5,369,110,000"
2021-11-11,"15,752.08","15,768.03","15,695.77","15,704.28","15,704.28","4,570,460,000"
2021-11-12,"15,752.62","15,874.57","15,705.38","15,860.96","15,860.96","5,446,540,000"
2021-11-15,"15,894.82","15,918.45","15,778.31","15,853.85","15,853.85","5,020,180,000"
2021-11-16,"15,840.32","15,989.61","15,825.00","15,973.86","15,973.86","5,533,020,000"
2021-11-17,"15,973.62","15,998.57","15,909.39","15,921.57","15,921.57","5,049,320,000"
2021-11-18,"15,973.39","16,010.88","15,848.83","15,993.71","15,993.71","5,391,360,000"
2021-11-19,"16,042.16","16,121.12","16,017.23","16,057.44","16,057.44","4,875,310,000"
2021-11-22,"16,120.92","16,212.23","15,851.04","15,854.76","15,854.76","5,567,830,000"
2021-11-23,"15,809.50","15,895.86","15,601.46","15,775.14","15,775.14","5,434,380,000"
2021-11-24,"15,677.88","15,848.56","15,591.36","15,845.23","15,845.23","4,197,090,000"
2021-11-26,"15,664.38","15,731.54","15,456.09","15,491.66","15,491.66","3,502,170,000"
2021-11-29,"15,719.42","15,833.11","15,644.61","15,782.83","15,782.83","4,836,230,000"
2021-11-30,"15,716.50","15,828.20","15,451.39","15,537.69","15,537.69","6,631,470,000"
