time,USD
2021/5/24,"1,880.20"
2021/5/25,"1,887.00"
2021/5/26,"1,899.80"
2021/5/27,"1,891.50"
2021/5/28,"1,900.00"
2021/5/31,"1,900.00"
2021/6/1,"1,899.40"
2021/6/2,"1,902.80"
2021/6/3,"1,866.60"
2021/6/4,"1,890.60"
2021/6/7,"1,888.40"
2021/6/8,"1,893.20"
2021/6/9,"1,894.60"
2021/6/10,"1,888.70"
2021/6/11,"1,881.10"
2021/6/14,"1,865.60"
2021/6/15,"1,865.10"
2021/6/16,"1,860.80"
2021/6/17,"1,778.70"
2021/6/18,"1,773.10"
2021/6/21,"1,775.10"
2021/6/22,"1,775.10"
2021/6/23,"1,791.60"
2021/6/24,"1,784.90"
2021/6/25,"1,786.70"
2021/6/28,"1,780.30"
2021/6/29,"1,755.50"
2021/6/30,"1,763.20"
2021/7/1,"1,781.50"
2021/7/2,"1,786.20"
2021/7/5,"1,791.40"
2021/7/6,"1,809.90"
2021/7/7,"1,804.70"
2021/7/8,"1,807.70"
2021/7/9,"1,806.00"
2021/7/12,"1,792.40"
2021/7/13,"1,813.90"
2021/7/14,"1,823.20"
2021/7/15,"1,823.80"
2021/7/16,"1,824.30"
2021/7/19,"1,814.90"
2021/7/20,"1,823.10"
2021/7/21,"1,802.20"
2021/7/22,"1,799.50"
2021/7/23,"1,799.60"
2021/7/26,"1,800.20"
2021/7/27,"1,800.40"
2021/7/28,"1,796.60"
2021/7/29,"1,829.30"
2021/7/30,"1,825.80"
2021/8/2,"1,811.50"
2021/8/3,"1,812.70"
2021/8/4,"1,829.10"
2021/8/5,"1,800.80"
2021/8/6,"1,762.90"
2021/8/9,"1,738.90"
2021/8/10,"1,723.40"
2021/8/11,"1,743.60"
2021/8/12,"1,747.40"
2021/8/13,"1,773.90"
2021/8/16,"1,786.40"
2021/8/17,"1,789.50"
2021/8/18,"1,783.50"
2021/8/19,"1,782.10"
2021/8/20,"1,779.10"
2021/8/23,"1,802.00"
2021/8/24,"1,808.50"
2021/8/25,"1,788.70"
2021/8/26,"1,786.60"
2021/8/27,"1,798.50"
2021/8/30,"1,798.50"
2021/8/31,"1,814.90"
2021/9/1,"1,811.80"
2021/9/2,"1,812.60"
2021/9/3,"1,823.70"
